entity_id,company_name,domain,score,score_reasons,final_industry,final_employee_count,country,contact_name,contact_title,email,hiring_now,recent_funding_months_ago,tech_signals,revenue_band,enrichment_status,enrichment_reason,enrichment_attempts,source_record_count,source_row_numbers
orbitmanufacturing-com,orbit manufacturing international,orbitmanufacturing.com,115,ideal_employee_range;target_industry;active_hiring_signal;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Finance,1500,India,,,info@orbit.com,True,3,"react,azure,salesforce,kubernetes",$1M-$10M,success,,1,12,"9,35,91,110,155,190,225,280,303,323,354,405"
meridiantravelglob-com,Meridian Travel Global Corp,meridiantravelglob.com,110,ideal_employee_range;target_industry;active_hiring_signal;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain,Finance,60,Australia,,,info@meridian.com,True,7,"react,kubernetes,azure",$250M+,success,,1,1,116
xenonlabsgroup-com,Xenon Labs Group,xenonlabsgroup.com,110,ideal_employee_range;target_industry;active_hiring_signal;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain,Healthcare,140,CA,,,info@xenon.com,True,7,"react,stripe,kubernetes",$250M+,success,,1,1,432
vantafoodsglobal-com,"VANTA,FOODS GLOBAL LTD",vantafoodsglobal.com,105,ideal_employee_range;target_industry;active_hiring_signal;recent_funding;valid_contact_email;valid_domain;multiple_source_mentions,Retail,140,United States,,,info@vanta.com,True,7,"kubernetes,stripe",$250M+,success,,1,2,"64,272"
cedarsystemsintern-com,"Cedar,Systems International Ltd.",cedarsystemsintern.com,100,ideal_employee_range;target_industry;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Software,1500,India,,,info@cedar.com,True,,"azure,aws,segment,python",<$1M,success,,1,2,"38,127"
driftapparelintern-com,Drift Apparel International Ltd.,driftapparelintern.com,100,ideal_employee_range;target_industry;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Retail,1500,,,,info@drift.com,True,,"react,kubernetes,hubspot",<$1M,success,,1,2,"399,458"
emberhospitalitygr-com,Ember Hospitality Group Corp,emberhospitalitygr.com,100,ideal_employee_range;target_industry;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Healthcare,140,United States,,,info@ember.com,True,26,"azure,react,aws",<$1M,success,,1,3,"100,118,184"
junipermobilitygro-com,Juniper Mobility Group Incorporated,junipermobilitygro.com,100,ideal_employee_range;target_industry;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Finance,1500,U.S.A.,,,info@juniper.com,True,14,"kubernetes,hubspot",<$1M,success,,1,2,"256,307"
saffronspicesholdi-com,saffron spices holdings ltd.,saffronspicesholdi.com,100,ideal_employee_range;target_industry;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Education,140,United Kingdom,,,info@saffron.com,True,,"stripe,aws",<$1M,success,,1,2,"161,245"
driftapparelholdin-com,Drift Apparel Holdings Corp,driftapparelholdin.com,95,ideal_employee_range;active_hiring_signal;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Gaming,1500,Germany,,,info@drift.com,True,7,"datadog,kubernetes,salesforce,azure",$50M-$250M,success,,2,3,"185,222,361"
graniteinsurancein-com,Granite Insurance International Corp,graniteinsurancein.com,95,ideal_employee_range;target_industry;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain,Finance,60,United States,,,info@granite.com,True,,"aws,segment",$50M-$250M,success,,1,1,298
junipermobility-com,Juniper Mobility Inc.,junipermobility.com,95,ideal_employee_range;active_hiring_signal;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Logistics,60,CA,,,info@juniper.com,True,3,"datadog,hubspot",<$1M,success,,1,2,"233,339"
kestrelsecurity-com,"Kestrel,Security",kestrelsecurity.com,95,ideal_employee_range;active_hiring_signal;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Logistics,140,United States,,,info@kestrel.com,True,7,"azure,gcp,salesforce,react",$1M-$10M,success,,2,4,"23,235,394,420"
quillsoftwareinter-com,Quill Software International Co,quillsoftwareinter.com,95,ideal_employee_range;target_industry;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain,Finance,320,U.S.A.,,,info@quill.com,True,,"snowflake,hubspot,salesforce,react",$1M-$10M,success,,1,1,259
saffronspices-com,saffron spices co,saffronspices.com,95,ideal_employee_range;active_hiring_signal;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Pharmaceuticals,140,United States,,,info@saffron.com,True,7,"segment,datadog,salesforce",$50M-$250M,success,,1,4,"28,263,273,133"
yarrowtextilesglob-com,Yarrow Textiles Global,yarrowtextilesglob.com,95,ideal_employee_range;target_industry;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain,Software,750,Australia,,,info@yarrow.com,True,,"gcp,stripe,python",$50M-$250M,success,,3,1,441
tidelinefinancehol-com,Tideline Finance Holdings Inc.,tidelinefinancehol.com,92,ideal_employee_range;target_industry;active_hiring_signal;recent_funding;valid_domain,Software,60,U.S.A.,,,,True,3,,$1M-$10M,success,,1,1,335
brightpathanalytic-com,Brightpath Analytics Corp,brightpathanalytic.com,90,ideal_employee_range;target_industry;active_hiring_signal;valid_contact_email;valid_domain;multiple_source_mentions,Education,60,United Kingdom,,,info@brightpath.com,True,,,<$1M,success,,2,13,"7,30,145,168,178,281,289,350,352,375,436,459,463"
cedarsystemspartne-com,CEDAR SYSTEMS PARTNERS INC,cedarsystemspartne.com,90,ideal_employee_range;target_industry;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Manufacturing,750,Australia,,,info@cedar.com,False,3,"aws,segment",<$1M,success,,1,3,"176,370,468"
harborhealthintern-com,Harbor Health International,harborhealthintern.com,90,ideal_employee_range;active_hiring_signal;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain,Construction,750,United Kingdom,,,info@harbor.com,True,7,salesforce,,success,,2,1,83
harborhealth-com,Harbor Health Ltd,harborhealth.com,90,ideal_employee_range;target_industry;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Education,140,United States,,,info@harbor.com,False,7,"aws,gcp,salesforce",$50M-$250M,success,,1,4,"50,106,214,217"
kestrelsecurityglo-com,kestrel security global incorporated,kestrelsecurityglo.com,90,small_company;target_industry;active_hiring_signal;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain,Retail,24,Germany,,,info@kestrel.com,True,7,"hubspot,azure,python,snowflake",$10M-$50M,success,,1,1,167
lumenretailpartner-com,Lumen Retail Partners Ltd,lumenretailpartner.com,90,ideal_employee_range;target_industry;active_hiring_signal;valid_contact_email;valid_domain;multiple_source_mentions,Healthcare,320,India,,,info@lumen.com,True,,,$50M-$250M,success,,2,3,"41,285,437"
onyxminingglobal-com,Onyx Mining Global Co.,onyxminingglobal.com,90,ideal_employee_range;target_industry;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Education,60,United Kingdom,,,info@onyx.com,False,7,"salesforce,stripe",<$1M,success,,1,2,"238,438"
pinecrestmediagrou-com,Pinecrest Media Group Co,pinecrestmediagrou.com,90,ideal_employee_range;target_industry;active_hiring_signal;valid_contact_email;valid_domain;multiple_source_mentions,Manufacturing,750,Germany,,,info@pinecrest.com,True,26,,$1M-$10M,success,,1,4,"203,269,462,476"
thicketgamingpartn-com,THICKET GAMING PARTNERS CORP,thicketgamingpartn.com,90,ideal_employee_range;target_industry;active_hiring_signal;valid_contact_email;valid_domain;multiple_source_mentions,Education,1500,India,,,info@thicket.com,True,14,,$10M-$50M,success,,1,2,"248,302"
xenonlabspartners-com,Xenon Labs Partners Co,xenonlabspartners.com,90,ideal_employee_range;active_hiring_signal;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain,Insurance,140,United Kingdom,,,info@xenon.com,True,3,"stripe,salesforce,aws,react",$10M-$50M,success,,2,1,56
acorneducation-com,ACORN EDUCATION INCORPORATED,acorneducation.com,87,large_company;target_industry;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Retail,4200,Germany,,,info@acorn.com,True,,"react,python",$250M+,success,,1,5,"77,112,198,300,271"
lumenretail-com,"Lumen,Retail Incorporated",lumenretail.com,87,large_company;target_industry;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Education,4200,United States,,,info@lumen.com,True,,aws,<$1M,success,,1,3,"33,131,236"
nimbuscloudholding-com,Nimbus Cloud Holdings Incorporated,nimbuscloudholding.com,85,ideal_employee_range;target_industry;active_hiring_signal;valid_contact_email;valid_domain,Retail,60,Australia,,,info@nimbus.com,True,26,,$10M-$50M,success,,1,1,29
onyxmining-com,Onyx Mining Ltd.,onyxmining.com,85,ideal_employee_range;active_hiring_signal;recent_funding;valid_contact_email;valid_domain;multiple_source_mentions,Insurance,320,Australia,,,info@onyx.com,True,3,,$10M-$50M,success,,1,5,"25,243,378,430,65"
quartzlegalglobal-com,QUARTZ LEGAL GLOBAL LTD,quartzlegalglobal.com,82,large_company;active_hiring_signal;recent_funding;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Construction,4200,United States,,,info@quartz.com,True,3,"stripe,segment,react",$1M-$10M,success,,1,3,"48,283,417"
xenonlabsglobal-com,Xenon Labs Global,xenonlabsglobal.com,82,large_company;target_industry;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain,Software,4200,U.S.A.,,,info@xenon.com,True,14,hubspot,$1M-$10M,success,,3,1,147
basaltconstruction-com,BASALT CONSTRUCTION INTERNATIONAL CO,basaltconstruction.com,80,ideal_employee_range;target_industry;recent_funding;valid_contact_email;valid_domain;multiple_source_mentions,Retail,750,DE,,,info@basalt.com,False,7,segment,$50M-$250M,success,,1,13,"1,46,47,171,173,229,325,327,342,409,412,415,419"
birchfurniture-com,Birch Furniture Inc,birchfurniture.com,80,ideal_employee_range;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Logistics,320,India,,,info@birch.com,True,,gcp,$1M-$10M,success,,2,3,"270,319,433"
cobalttelecomholdi-com,COBALT TELECOM HOLDINGS INC.,cobalttelecomholdi.com,80,ideal_employee_range;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Telecom,320,India,,,info@cobalt.com,True,,salesforce,$250M+,success,,1,2,"60,158"
harborhealthholdin-com,Harbor Health Holdings Inc.,harborhealthholdin.com,80,ideal_employee_range;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Telecom,320,United States,,,info@harbor.com,True,26,python,<$1M,success,,2,2,"237,328"
mosaicpaymentsinte-com,MOSAIC PAYMENTS INTERNATIONAL CO.,mosaicpaymentsinte.com,80,ideal_employee_range;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Hospitality,140,India,,,info@mosaic.com,True,,"python,segment,azure",$10M-$50M,success,,1,2,"452,470"
rivethardwarepartn-com,Rivet Hardware Partners Incorporated,rivethardwarepartn.com,80,ideal_employee_range;active_hiring_signal;relevant_tech_stack;valid_contact_email;valid_domain;multiple_source_mentions,Hospitality,320,Germany,,,info@rivet.com,True,,"react,snowflake",$50M-$250M,success,,1,2,"193,195"
